x,y,yaw
0.3085,-6.1866,-2.2006373659757457
0.2624,-6.2498,-2.2006373659757457
0.2072,-6.3255,-2.2006278323346673
0.1475,-6.4074,-2.2006218050891055
0.0998,-6.4727,-2.200621868429967
0.0632,-6.5222,-2.2027805633739685
0.0369,-6.5561,-2.218917364931259
0.0222,-6.5742,-2.242013100844109
0.0216,-6.5751,-2.2610531099627655
0.0218,-6.575,-2.263250994658095
0.0201,-6.577,-2.263247788903387
0.0077,-6.5918,-2.2642303673955153
-0.0158,-6.62,-2.2664595395055684
-0.0512,-6.6624,-2.2664565035134747
-0.0971,-6.7173,-2.266539524020071
-0.1537,-6.7851,-2.2665386174226043
-0.2223,-6.8671,-2.266538716826151
-0.3019,-6.9582,-2.274961393256527
-0.3885,-7.0463,-2.3935842430560528
-0.466,-7.1126,-2.4877543250071303
-0.531,-7.1579,-2.4877543250071303
-0.5827,-7.1867,-2.5859263087541153
-0.6202,-7.2034,-2.6785329769608315
-0.6417,-7.2114,-2.7500949029303023
-0.6421,-7.2118,-2.789650124948812
-0.6418,-7.2116,-2.792231289959677
-0.6417,-7.2115,-2.7921982755811006
-0.6494,-7.2144,-2.7922101128126267
-0.6729,-7.2221,-2.807463743160087
-0.7134,-7.2327,-2.8514470978951727
-0.7707,-7.2427,-2.9250778441447713
-0.8479,-7.2488,-3.015612184452819
-0.9383,-7.2479,-3.109700740602112
-1.017,-7.2418,3.0916624840788023
-1.0756,-7.2352,3.043208913921431
-1.1217,-7.2295,3.023997708916373
-1.1807,-7.2223,3.0214334219885375
-1.258,-7.213,3.0214695037839396
-1.3508,-7.2017,3.0214851659181137
-1.4578,-7.1888,3.0215051222397546
-1.5537,-7.1767,3.021095591566792
-1.628,-7.1653,3.0034067207183295
-1.6832,-7.1545,2.9684363979529502
-1.7182,-7.1461,2.926192416030304
-1.7333,-7.142,2.888343594892326
-1.7331,-7.142,2.8680324105813964
-1.7368,-7.141,2.8680449402043475
-1.7573,-7.1351,2.865638223892709
-1.7945,-7.1241,2.8586001300557546
-1.8494,-7.108,2.8559836014211917
-1.92,-7.0873,2.856013528301676
-2.0083,-7.0614,2.8560147882080735
-2.1086,-7.0313,2.855617525165023
-2.1971,-7.0018,2.8359577679817165
-2.2638,-6.9757,2.792684041433163
-2.3117,-6.9538,2.7388778828666807
-2.3405,-6.9386,2.6835299529622314
-2.3495,-6.9336,2.6390709724323433
-2.3492,-6.9337,2.6211578807524396
-2.349,-6.9338,2.6211738914879206
-2.3489,-6.9338,2.6211842192602774
-2.3566,-6.9294,2.6212430027128546
-2.3798,-6.9159,2.617945480742354
-2.4181,-6.8936,2.614658703071746
-2.4724,-6.862,2.6146626876341275
-2.5403,-6.8222,2.6142765208554155
-2.6192,-6.7728,2.5989257074718966
-2.682,-6.7288,2.5553386810519725
-2.7264,-6.6935,2.4977681951101665
