x,y,yaw
-2.4724,-6.862,2.61466268763413
-2.5403,-6.8222,2.61427652085542
-2.6192,-6.7728,2.5989257074719
-2.682,-6.7288,2.55533868105197
-2.7264,-6.6935,2.49776819511017
-2.7547,-6.668,2.43813877506653
-2.7668,-6.6565,2.35696486701202
-2.7832,-6.6396,2.34971307442032
-2.807,-6.6121,2.31365135327595
-2.8389,-6.569,2.24936624679645
-2.8737,-6.5096,2.15532097852907
-2.9042,-6.4374,2.03474871141779
-2.9555,-6.0854,1.67718964801306
-2.965,-5.9919,1.67690817721202
-2.9707,-5.9144,1.6590408152452
-2.9726,-5.8563,1.62276637118304
-2.972,-5.8174,1.57916319512953
-2.9711,-5.7969,1.53842726596181
-2.9711,-5.7969,1.51601051122038
-2.971,-5.7954,1.51588532387374
-2.97,-5.7788,1.51532504192876
-2.968,-5.7445,1.51293189824622
-2.9649,-5.6918,1.51293803417325
-2.9608,-5.6214,1.51280140008086
-2.9558,-5.5352,1.51280288544274
-2.9484,-5.4329,1.50840689081077
-2.935,-5.3211,1.47681418615325
-2.9172,-5.2308,1.41141522451004
-2.8944,-5.1532,1.3308291858552
-2.8761,-5.1067,1.23296751495243
-2.804,-4.9516,1.13427888054286
-2.7731,-4.8855,1.1342805617465
-2.7438,-4.8227,1.13428218163618
-2.707,-4.7439,1.13428292707994
-2.6638,-4.6512,1.13428424344473
-2.618,-4.5529,1.13445454530412
-2.5795,-4.4704,1.13428532728274
-2.5457,-4.3981,1.13439265996492
-2.5047,-4.3102,1.13439291330004
-2.4574,-4.2087,1.13428637553527
-2.4022,-4.0904,1.13428571477242
-2.345,-3.9678,1.13445554319287
-2.2951,-3.8607,1.13428688575641
-2.2545,-3.7736,1.13439332205396
-2.215,-3.6889,1.13439261165103
-2.1692,-3.5907,1.13439351892895
-2.1165,-3.4778,1.13439459965658
-2.0577,-3.3516,1.13428672653132
-2.0129,-3.2557,1.13428672653132
-1.9689,-3.1612,1.13439356205082
-1.9319,-3.0819,1.13439482905199
-1.8921,-2.9966,1.13439371437399
-1.8445,-2.8946,1.13439376723974
-1.7908,-2.7795,1.13439477470539
-1.7293,-2.6475,1.13428703413338
-1.6705,-2.5215,1.13445581052218
-1.6194,-2.4121,1.13439459965658
-1.5777,-2.3225,1.1343947669184
-1.5398,-2.2413,1.13450331802528
-1.5034,-2.1632,1.13439482905199
-1.4747,-2.1017,1.13450003507991
-1.4396,-2.0266,1.13749113902702
-1.4397,-2.0268,1.13749369334162
-1.4361,-2.0193,1.13755373372929
-1.426,-1.996,1.14847005043069
-1.4119,-1.9573,1.25961872081858
-1.3964,-1.9014,1.25961872081858
-1.3869,-1.8541,1.34127393590846
-1.3821,-1.8237,1.39327339110571
-1.3807,-1.815,1.41736484143722
-1.3794,-1.8061,1.42243063713392
-1.3755,-1.7795,1.42385776103864
-1.3689,-1.7346,1.42400456061341
-1.3598,-1.6733,1.42400336975688
-1.348,-1.5937,1.42400139394005
-1.3345,-1.5023,1.4240006754917
-1.3233,-1.4249,1.42400085749432
-1.3158,-1.3656,1.43522576602635
-1.312,-1.3265,1.46034272105344
-1.3105,-1.306,1.48809508339272
-1.3105,-1.306,1.50757125869842
-1.3105,-1.3062,1.50770419772759
-1.3103,-1.3035,1.50770309834461
-1.3091,-1.2843,1.50784878719545
-1.3068,-1.2475,1.50770811990826
-1.3033,-1.1924,1.50770668949156
-1.2987,-1.1196,1.50770802995742
-1.2932,-1.0327,1.50770755236652
-1.2861,-0.9201,1.50770796282353
-1.2796,-0.8048,1.5315076211404
-1.2774,-0.6683,1.5315076211404
-1.2877,-0.518,1.70339763347618
-1.3176,-0.3546,1.70339763347618
-1.355,-0.2102,1.79946799042041
-1.3913,-0.084,1.84415148064899
-1.4215,0.0208,1.84985025377699
-1.4466,0.108,1.84982844233117
-1.4636,0.167,1.84967919922631
-1.4842,0.2388,1.84965208908382
-1.5099,0.3283,1.84959556141902
-1.5397,0.4324,1.8495230085603
-1.5747,0.5543,1.84950154140568
-1.613,0.6881,1.84949022981231
-1.6464,0.8047,1.84948630166177
-1.6747,0.9037,1.84948825016484
-1.6982,0.9816,1.8545544437085
-1.7179,1.0401,1.87949979654665
-1.7333,1.0807,1.91567419015846
-1.7423,1.1033,1.94064240982096
-1.7432,1.1058,1.94808943364086
-1.7442,1.1082,1.94879196977004
-1.7512,1.126,1.94889595270894
-1.7648,1.16,1.94883933068952
-1.7847,1.2102,1.94883824714934
-1.8115,1.2777,1.94883604153303
-1.8447,1.3612,1.94883543800769
-1.8835,1.459,1.94894642759982
-1.9291,1.5739,1.94894650272411
-1.98,1.702,1.94894621923937
-2.0367,1.8447,1.9489465423139
-2.1002,2.0048,1.94894628446664
